,Station_ID,Station_name,Latitude,Longitude,Ville,Pays
310,ES1280A,ES1280A-CAMPO DE LA JUVENTUD,42.003613,-4.524722,PALENCIA,ES
311,ES1281A,ES1281A-ESTACIÓN DE AUTOBUSES,42.553333,-6.600278,PONFERRADA,ES
312,ES1284A,ES1284A-PASEO DE EXTREMADURA,40.407780,-3.741945,MADRID,ES
313,ES1285A,ES1285A-LOUSEIRAS (B-2),43.536111,-7.740278,MURAS,ES
314,ES1286A,ES1286A-JARDINES EDUARDO BARRÓN,41.507221,-5.738611,ZAMORA,ES
315,ES1287A,ES1287A-GUARDO,42.795278,-4.840833,GUARDO,ES
316,ES1288A,ES1288A-PLAZA DE COLÓN,40.967499,-5.668333,SALAMANCA,ES
317,ES1289A,ES1289A-SAN ANTONIO,42.551388,-6.586111,PONFERRADA,ES
318,ES1290A,ES1290A-HUERTAS DEL SACRAMENTO,42.541668,-6.588894,PONFERRADA,ES
319,ES1291A,ES1291A-ACUEDUCTO,40.949722,-4.115833,SEGOVIA,ES
320,ES1292A,ES1292A-PLAZA DE TOROS,42.588612,-5.571392,LEÓN,ES
321,ES1294A,ES1294A-BURGOS 3,42.334164,-3.700281,BURGOS,ES
322,ES1295A,ES1295A-CASA DE LA JUVENTUD,42.828056,-4.843056,VELILLA DEL RÍO CARRIÓN,ES
323,ES1296A,ES1296A-ESTACIÓN DE AUTOBUSES DE ÁVILA,40.658611,-4.688058,ÁVILA,ES
324,ES1297A,ES1297A-LA ROBLA,42.802778,-5.623611,ROBLA (LA),ES
325,ES1298A,ES1298A-RENAULT 4,41.961389,-4.494444,VILLAMURIEL DE CERRATO,ES
326,ES1300A,ES1300A-CAPELADA (A-6),43.683334,-7.950000,CEDEIRA,ES
327,ES1301A,ES1301A-FURADO (G-4),43.489166,-8.052781,SAN SADURNIÑO,ES
328,ES1302A,ES1302A-AS NEVES (F-7),43.435280,-8.055561,CAPELA (A),ES
329,ES1303A,ES1303A-FRAGA EUME (F-6),43.404446,-8.041676,MONFERO,ES
